g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.010,2,0.6,0.1,10.00,0.743,0.014,0.817,0.056,2.42,0.92
0.010,0.010,3,0.4,0.1,10.00,0.790,0.014,0.817,0.064,2.15,0.92
0.100,0.010,2,0.4,0.1,1.00,0.785,0.013,0.818,0.057,1.56,0.92
0.010,0.010,2,0.6,0.1,10.00,0.790,0.014,0.820,0.063,1.65,0.93
0.100,0.010,2,0.8,0.1,100.00,0.728,0.014,0.820,0.053,24.81,0.91
0.100,0.010,2,0.8,0.1,10.00,0.747,0.014,0.823,0.058,2.71,0.92
0.010,0.010,1,0.4,0.1,10.00,0.796,0.014,0.823,0.065,1.75,0.92
0.100,0.100,2,0.2,0.1,0.10,0.800,0.008,0.824,0.043,1.51,0.92
0.010,0.010,2,0.8,0.1,10.00,0.797,0.014,0.826,0.062,1.57,0.93
0.100,0.010,1,0.4,0.1,10.00,0.799,0.015,0.827,0.065,1.79,0.92
0.010,0.010,3,0.6,0.1,10.00,0.808,0.014,0.832,0.066,2.24,0.91
0.100,0.100,1,0.2,0.1,0.10,0.812,0.012,0.835,0.050,1.57,0.92
0.100,0.010,2,0.6,0.1,1.00,0.802,0.014,0.839,0.056,1.64,0.92
0.010,0.010,1,0.6,0.1,10.00,0.820,0.015,0.844,0.068,1.78,0.91
0.100,0.100,2,0.4,0.1,0.10,0.824,0.010,0.846,0.043,1.44,0.91
0.100,0.100,3,0.4,0.1,0.10,0.822,0.012,0.849,0.055,2.11,0.91
0.100,0.010,1,0.6,0.1,10.00,0.824,0.015,0.850,0.068,1.80,0.91
0.010,0.100,1,0.2,0.1,0.10,0.837,0.009,0.857,0.042,1.55,0.92
0.100,0.100,1,0.4,0.1,0.10,0.838,0.013,0.858,0.057,1.54,0.92
0.010,0.100,2,0.2,0.1,0.10,0.843,0.009,0.862,0.040,1.52,0.92
0.010,0.100,3,0.2,0.1,0.10,0.843,0.009,0.863,0.040,2.25,0.92
0.010,0.010,3,0.8,0.1,10.00,0.847,0.015,0.868,0.070,2.05,0.91
