g_p,g_r,d,rho,mean_train,std_train,mean_test,std_test,time
0.010,0.010,4,1.0,1.21,0.02,1.31,0.09,2.38
0.010,0.100,1,0.0,0.81,0.01,1.16,0.04,2.26
0.010,0.100,1,0.2,0.83,0.01,1.15,0.04,1.98
0.010,0.100,1,0.4,0.85,0.01,1.14,0.04,1.72
0.010,0.100,1,0.6,0.89,0.01,1.14,0.04,1.53
0.010,0.100,1,0.8,0.95,0.01,1.15,0.05,1.35
0.010,0.100,1,1.0,1.89,0.03,1.92,0.11,0.96
0.010,0.100,2,0.0,0.81,0.01,1.16,0.04,2.28
0.010,0.100,2,0.2,0.83,0.01,1.14,0.04,2.00
0.010,0.100,2,0.4,0.85,0.01,1.14,0.04,1.79
0.010,0.100,2,0.6,0.89,0.01,1.14,0.05,1.58
0.010,0.100,2,0.8,0.95,0.01,1.14,0.05,1.30
0.010,0.100,2,1.0,1.47,0.03,1.52,0.12,1.09
0.010,0.100,3,0.0,0.81,0.01,1.16,0.04,2.91
0.010,0.100,3,0.2,0.83,0.01,1.14,0.04,2.72
0.010,0.100,3,0.4,0.85,0.01,1.14,0.04,2.72
0.010,0.100,3,0.6,0.89,0.01,1.14,0.05,2.50
0.010,0.100,3,0.8,0.95,0.01,1.15,0.05,2.25
0.010,0.100,3,1.0,1.34,0.02,1.42,0.11,1.94
0.010,0.100,4,0.0,0.81,0.01,1.16,0.04,2.99
0.010,0.100,4,0.2,0.82,0.01,1.14,0.04,2.83
0.010,0.100,4,0.4,0.85,0.01,1.14,0.04,2.71
0.010,0.100,4,0.6,0.89,0.01,1.14,0.05,2.59
0.010,0.100,4,0.8,0.94,0.01,1.15,0.05,2.46
0.010,0.100,4,1.0,1.21,0.02,1.31,0.09,2.40
0.100,0.001,1,0.0,1.66,0.03,1.68,0.10,0.84
0.100,0.001,1,0.2,1.68,0.03,1.71,0.11,1.06
0.100,0.001,1,0.4,1.71,0.03,1.74,0.11,1.29
0.100,0.001,1,0.6,1.75,0.03,1.78,0.11,1.55
0.100,0.001,1,0.8,1.81,0.03,1.84,0.11,1.74
0.100,0.001,1,1.0,1.89,0.03,1.92,0.11,1.92
0.100,0.001,2,0.0,1.66,0.03,1.68,0.10,0.79
0.100,0.001,2,0.2,1.42,0.03,1.52,0.11,2.77
0.100,0.001,2,0.4,1.41,0.03,1.52,0.11,4.64
0.100,0.001,2,0.6,1.41,0.03,1.52,0.11,7.62
0.100,0.001,2,0.8,1.41,0.03,1.53,0.11,8.70
0.100,0.001,2,1.0,1.41,0.03,1.53,0.11,11.25
0.100,0.001,3,0.0,1.66,0.03,1.68,0.10,1.43
0.100,0.001,3,0.2,1.02,0.02,1.25,0.06,12.28
0.100,0.001,3,0.4,0.99,0.02,1.26,0.06,31.57
0.100,0.001,3,0.6,0.98,0.02,1.26,0.06,47.46
0.100,0.001,3,0.8,0.97,0.02,1.28,0.06,57.25
0.100,0.001,3,1.0,0.96,0.02,1.29,0.06,78.94
0.100,0.001,4,0.0,1.66,0.03,1.68,0.10,1.38
0.100,0.001,4,0.2,0.83,0.01,1.23,0.03,83.78
0.100,0.001,4,0.4,0.78,0.01,1.27,0.05,4490.56
0.100,0.001,4,0.6,0.74,0.02,1.30,0.05,258.23
0.100,0.001,4,0.8,0.72,0.02,1.33,0.06,416.61
0.100,0.001,4,1.0,0.71,0.02,1.35,0.06,490.15
0.100,0.010,1,0.0,1.27,0.02,1.34,0.09,1.09
0.100,0.010,1,0.2,1.29,0.02,1.35,0.10,1.30
0.100,0.010,1,0.4,1.32,0.02,1.37,0.10,1.37
0.100,0.010,1,0.6,1.36,0.02,1.41,0.10,1.43
0.100,0.010,1,0.8,1.42,0.03,1.46,0.11,1.64
0.100,0.010,1,1.0,1.89,0.03,1.92,0.11,1.97
0.100,0.010,2,0.0,1.27,0.02,1.34,0.09,1.08
0.100,0.010,2,0.2,1.27,0.02,1.38,0.09,2.45
0.100,0.010,2,0.4,1.29,0.02,1.41,0.09,3.59
0.100,0.010,2,0.6,1.32,0.02,1.44,0.10,5.32
0.100,0.010,2,0.8,1.35,0.02,1.47,0.10,6.14
0.100,0.010,2,1.0,1.41,0.03,1.53,0.11,13.31
0.100,0.010,3,0.0,1.27,0.02,1.34,0.09,1.87
0.100,0.010,3,0.2,1.02,0.02,1.25,0.06,15.17
0.100,0.010,3,0.4,0.99,0.02,1.26,0.06,32.88
0.100,0.010,3,0.6,0.98,0.02,1.27,0.06,46.75
0.100,0.010,3,0.8,0.97,0.02,1.28,0.06,61.40
0.100,0.010,3,1.0,0.96,0.02,1.29,0.06,78.52
0.100,0.010,4,0.0,1.27,0.02,1.34,0.09,1.52
0.100,0.010,4,0.2,0.83,0.01,1.23,0.03,86.51
0.100,0.010,4,0.4,0.78,0.01,1.27,0.05,183.14
0.100,0.010,4,0.6,0.74,0.02,1.30,0.05,311.83
0.100,0.010,4,0.8,0.72,0.02,1.33,0.06,490.98
0.100,0.010,4,1.0,0.71,0.02,1.35,0.06,865.08
