g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.100,1,0.5,0.1,100.00,0.528,0.012,0.886,0.042,10.44,0.92
0.100,0.100,5,0.6,0.1,10.00,0.592,0.008,0.886,0.031,6.58,0.92
0.010,0.100,2,0.5,0.1,100.00,0.529,0.012,0.886,0.038,6.16,0.92
0.100,0.100,1,0.5,0.1,1.00,0.827,0.008,0.887,0.042,2.76,0.91
0.010,0.100,3,0.5,0.1,100.00,0.530,0.012,0.887,0.038,7.09,0.92
0.010,0.100,4,0.5,0.1,100.00,0.530,0.012,0.887,0.038,6.89,0.92
0.010,0.100,5,0.5,0.1,100.00,0.530,0.012,0.887,0.038,7.80,0.92
0.100,0.100,2,0.5,0.1,100.00,0.524,0.011,0.887,0.037,17.20,0.92
0.010,0.100,3,0.8,0.1,10.00,0.769,0.009,0.887,0.039,3.90,0.92
0.100,0.100,3,0.8,0.1,10.00,0.704,0.008,0.888,0.041,6.86,0.92
0.100,0.100,2,0.6,0.1,10.00,0.710,0.008,0.888,0.044,3.50,0.92
0.010,0.100,4,0.8,0.1,10.00,0.771,0.009,0.888,0.039,3.84,0.92
0.010,0.100,5,0.8,0.1,10.00,0.771,0.009,0.889,0.039,3.65,0.92
0.010,0.100,2,0.8,0.1,10.00,0.768,0.009,0.889,0.041,2.66,0.92
0.100,0.100,5,0.7,0.1,10.00,0.593,0.008,0.890,0.033,6.38,0.92
0.100,0.100,3,0.1,0.1,1.00,0.802,0.010,0.890,0.039,4.32,0.92
0.100,0.100,1,0.4,0.1,100.00,0.513,0.011,0.890,0.042,12.69,0.93
0.010,0.100,1,0.4,0.1,100.00,0.514,0.012,0.891,0.040,6.85,0.92
0.100,0.100,2,0.4,0.1,100.00,0.510,0.011,0.891,0.037,15.93,0.92
0.010,0.100,2,0.4,0.1,100.00,0.514,0.012,0.891,0.039,6.84,0.92
0.100,0.010,4,0.1,0.1,100.00,0.670,0.013,0.892,0.046,9.14,0.92
0.010,0.100,3,0.4,0.1,100.00,0.515,0.012,0.892,0.039,7.74,0.92
0.010,0.100,4,0.4,0.1,100.00,0.515,0.012,0.892,0.039,7.71,0.92
0.010,0.100,5,0.4,0.1,100.00,0.515,0.012,0.892,0.039,8.56,0.92
0.100,0.100,3,0.2,0.1,1.00,0.802,0.010,0.893,0.039,4.12,0.93
0.100,0.100,3,0.9,0.1,10.00,0.727,0.009,0.893,0.042,7.09,0.92
0.100,0.100,2,0.7,0.1,10.00,0.728,0.009,0.893,0.044,3.29,0.92
0.010,0.100,1,0.3,0.1,100.00,0.501,0.011,0.894,0.041,7.35,0.92
0.100,0.100,1,0.3,0.1,100.00,0.501,0.011,0.894,0.042,13.98,0.93
0.100,0.100,5,0.2,0.1,1.00,0.786,0.010,0.894,0.043,4.00,0.92
0.010,0.100,2,0.3,0.1,100.00,0.502,0.012,0.895,0.040,7.81,0.93
0.010,0.100,3,0.3,0.1,100.00,0.502,0.012,0.895,0.040,8.59,0.93
0.010,0.100,4,0.3,0.1,100.00,0.502,0.012,0.895,0.040,8.57,0.93
0.010,0.100,5,0.3,0.1,100.00,0.502,0.012,0.895,0.040,9.07,0.93
0.100,0.100,5,0.8,0.1,10.00,0.598,0.007,0.895,0.038,6.60,0.92
0.100,0.100,2,0.3,0.1,100.00,0.498,0.011,0.895,0.039,15.48,0.93
0.100,0.100,5,0.1,0.1,1.00,0.793,0.010,0.895,0.041,4.04,0.92
0.100,0.100,4,0.9,0.1,10.00,0.665,0.012,0.896,0.046,6.50,0.93
0.100,0.100,1,0.6,0.1,1.00,0.842,0.009,0.896,0.043,2.62,0.91
0.010,0.100,1,0.2,0.1,100.00,0.491,0.012,0.897,0.042,7.85,0.93
0.100,0.100,3,0.3,0.1,1.00,0.805,0.010,0.898,0.042,4.14,0.92
0.010,0.100,2,0.2,0.1,100.00,0.491,0.012,0.898,0.042,8.90,0.92
0.010,0.100,5,0.2,0.1,100.00,0.491,0.012,0.898,0.042,9.80,0.92
0.010,0.100,3,0.2,0.1,100.00,0.491,0.012,0.898,0.042,9.50,0.92
0.010,0.100,4,0.2,0.1,100.00,0.491,0.012,0.898,0.042,8.95,0.92
0.100,0.100,1,0.2,0.1,100.00,0.490,0.012,0.898,0.042,14.52,0.93
0.010,0.100,3,0.9,0.1,10.00,0.811,0.009,0.898,0.040,3.76,0.92
0.100,0.100,2,0.2,0.1,100.00,0.488,0.012,0.898,0.041,17.40,0.93
0.100,0.100,5,0.3,0.1,1.00,0.782,0.010,0.899,0.044,4.07,0.92
0.010,0.100,1,0.5,0.1,1.00,0.839,0.009,0.899,0.036,2.49,0.92
0.010,0.100,2,0.9,0.1,10.00,0.811,0.010,0.899,0.044,2.46,0.92
0.010,0.100,1,0.4,0.1,1.00,0.832,0.009,0.899,0.037,2.38,0.92
0.010,0.100,1,0.1,0.1,100.00,0.482,0.012,0.900,0.043,9.02,0.92
0.010,0.100,2,0.1,0.1,100.00,0.482,0.012,0.900,0.043,9.75,0.92
0.100,0.100,1,0.1,0.1,100.00,0.481,0.012,0.900,0.044,14.00,0.92
0.100,0.100,2,0.1,0.1,100.00,0.480,0.012,0.900,0.042,14.64,0.93
0.010,0.100,5,0.1,0.1,100.00,0.482,0.012,0.900,0.043,11.06,0.92
0.010,0.100,4,0.1,0.1,100.00,0.482,0.012,0.900,0.043,10.05,0.92
0.010,0.100,3,0.1,0.1,100.00,0.482,0.012,0.900,0.043,10.33,0.92
0.010,0.100,1,0.3,0.1,1.00,0.827,0.009,0.900,0.039,2.32,0.92
0.010,0.100,1,0.2,0.1,1.00,0.823,0.009,0.900,0.039,2.50,0.92
0.100,0.100,4,0.1,0.1,1.00,0.804,0.011,0.901,0.044,4.31,0.92
0.100,0.100,2,0.8,0.1,10.00,0.752,0.009,0.901,0.043,3.93,0.93
0.010,0.100,1,0.6,0.1,1.00,0.849,0.009,0.901,0.037,2.46,0.92
0.100,0.010,5,0.1,0.1,10.00,0.769,0.011,0.901,0.061,4.05,0.91
0.010,0.100,1,0.1,0.1,1.00,0.819,0.010,0.902,0.040,2.47,0.92
0.100,0.100,2,0.1,0.1,1.00,0.817,0.010,0.902,0.044,2.99,0.92
0.010,0.100,4,0.9,0.1,10.00,0.815,0.010,0.903,0.042,3.93,0.92
0.100,0.100,3,0.4,0.1,1.00,0.809,0.010,0.903,0.047,4.63,0.92
0.010,0.100,5,0.9,0.1,10.00,0.815,0.010,0.903,0.041,3.62,0.92
0.100,0.100,5,0.4,0.1,1.00,0.782,0.011,0.903,0.048,4.10,0.92
0.100,0.010,3,0.1,0.1,10.00,0.818,0.012,0.904,0.055,3.98,0.92
0.100,0.100,2,0.2,0.1,1.00,0.820,0.011,0.905,0.046,2.85,0.92
0.010,0.100,3,0.1,0.1,1.00,0.823,0.010,0.906,0.042,3.66,0.91
0.010,0.100,2,0.1,0.1,1.00,0.823,0.010,0.906,0.042,2.73,0.91
0.010,0.100,4,0.1,0.1,1.00,0.823,0.010,0.906,0.042,3.94,0.91
0.010,0.100,5,0.1,0.1,1.00,0.823,0.010,0.906,0.042,2.49,0.91
