,units,layers,learning_rate,activation_function,lambda_reg,mean_val_loss,std_val_loss
147,1,4,0.1,relu,1e-05,6.3383690357208256,1.7256799537692162
148,4,3,0.1,relu,0.001,2.9687026500701905,2.067041489382738
149,1,4,0.1,relu,0.0001,5.51690559387207,1.9731543683569925
150,4,3,0.1,relu,0.005,2.9355239629745484,2.312669810457251
151,4,4,0.01,relu,0.0001,1.3685587406158448,0.15251736452229647
152,1,1,0.001,leakyrelu,0.01,3.135254144668579,0.08180037368283496
153,1,4,0.1,relu,0.001,4.81138801574707,2.0129502760962383
154,4,3,0.1,relu,0.01,2.537468409538269,0.5584200188709387
155,1,4,0.1,relu,0.005,5.595084190368652,2.052642579624129
156,1,1,0.01,relu,0.0,4.623263931274414,1.9804256806022873
157,4,4,0.01,relu,0.001,1.98777174949646,0.7132302691072483
158,4,3,0.1,elu,0.0,1.6109119415283204,0.1242102344496159
159,1,4,0.1,relu,0.01,6.4057393074035645,1.6296722485862631
160,1,1,0.01,relu,1e-05,3.006261968612671,0.0626087276342884
161,4,3,0.1,elu,1e-05,1.4582430601119996,0.17207747143628419
162,4,4,0.01,relu,0.005,2.0412015199661253,0.7172792333513367
163,1,2,0.001,elu,0.001,3.0788623332977294,0.08410895478478277
164,1,4,0.1,elu,0.0,3.9471795558929443,1.5197506127630787
165,1,1,0.01,relu,0.0001,3.002017021179199,0.0653063959275667
166,4,3,0.1,elu,0.0001,1.459724760055542,0.0742981403834517
167,4,2,0.0001,leakyrelu,0.005,1.6161702632904054,0.1172408925792618
168,4,3,0.0001,elu,0.0001,1.3307936429977416,0.10044427266404461
169,1,4,0.1,elu,1e-05,4.759388971328735,2.064622914312667
170,4,3,0.1,elu,0.001,1.4555110454559326,0.05121778715215193
171,1,1,0.01,relu,0.001,5.5370299339294435,2.1214003691154093
172,4,1,0.001,elu,0.001,1.544090747833252,0.15292947413962177
173,1,4,0.1,elu,0.0001,3.3522751331329346,0.33218454146737114
174,4,3,0.1,elu,0.005,1.5546324729919434,0.11772916738490048
175,4,4,0.01,relu,0.01,3.012964868545532,2.1390674846121263
176,1,1,0.01,relu,0.005,3.037586736679077,0.06832767937266902
177,1,5,0.001,leakyrelu,0.01,3.2450342178344727,0.03944471700234166
178,1,1,0.0001,relu,0.0,4.1489424228668215,2.2362832451174857
179,1,4,0.1,elu,0.001,4.132801532745361,1.5469052884900476
180,4,3,0.1,elu,0.01,1.751891565322876,0.162515487599064
181,4,4,0.01,elu,0.0,1.2857232570648194,0.06650332788543928
182,1,4,0.0001,elu,0.0001,4.791276597976685,2.1211930814152105
183,1,4,0.1,elu,0.005,3.130711889266968,0.09840263520978941
184,1,1,0.01,relu,0.01,4.798185682296753,2.1050139548535163
185,1,5,0.01,relu,0.0,7.19679479598999,0.18630507987438188
186,4,3,0.1,leakyrelu,0.0,1.5195533752441406,0.1097062449977805
187,1,4,0.1,elu,0.01,4.7170610427856445,1.9169454593184883
188,4,4,0.01,elu,1e-05,1.2547794103622436,0.11130648492543542
189,4,3,0.1,leakyrelu,1e-05,1.5298178434371947,0.2103413720644447
190,1,3,0.0001,leakyrelu,0.005,3.165595817565918,0.10861853536556443
191,1,1,0.01,elu,0.0,3.0129102230072022,0.06962780260783827
192,1,5,0.01,relu,1e-05,5.483233976364136,1.9809052115404417
193,1,4,0.1,leakyrelu,0.0,3.0919176578521728,0.12290303000500001
194,4,3,0.1,leakyrelu,0.0001,1.564675211906433,0.17649448013382607
195,1,4,0.1,leakyrelu,1e-05,3.0593503952026366,0.05575099250915577
196,1,1,0.01,elu,1e-05,3.014180374145508,0.06648009596768169
197,4,4,0.01,elu,0.0001,1.2403253078460694,0.08959557042748897
198,4,3,0.1,leakyrelu,0.001,1.5222325563430785,0.09008995858232709
199,1,5,0.01,relu,0.0001,7.196934223175049,0.18599856793361855
200,1,4,0.1,leakyrelu,0.0001,3.0610349655151365,0.05118874164223485
201,1,1,0.01,elu,0.0001,3.038928270339966,0.08407801151019144
202,4,3,0.1,leakyrelu,0.005,1.788085126876831,0.19176078785698952
203,1,4,0.1,leakyrelu,0.001,3.143514394760132,0.05321527860075186
204,1,5,0.01,relu,0.001,6.393428087234497,1.6455370442552737
205,4,4,0.01,elu,0.001,1.2902064561843871,0.08921052129594892
206,4,3,0.1,leakyrelu,0.01,1.7168598890304565,0.10331467961174132
207,1,4,0.1,leakyrelu,0.005,3.1328497409820555,0.08804404397900513
208,4,1,0.0001,relu,0.0,1.46882221698761,0.11754017868558603
209,1,5,0.0001,relu,0.0,8.113872623443603,0.3146868117701051
210,4,4,0.1,elu,0.005,1.7423805713653564,0.3255184682239166
211,1,2,0.0001,relu,0.0,7.154016971588135,2.1091938995600366
212,1,5,0.01,relu,0.005,7.1976593971252445,0.1861315127336144
213,1,1,0.01,elu,0.001,2.999811792373657,0.07563170865815431
214,1,4,0.1,leakyrelu,0.01,3.3076427936553956,0.10907900979355262
215,4,4,0.1,elu,0.01,1.7589566469192506,0.14827000567198162
216,4,4,0.01,elu,0.005,1.3992933273315429,0.04442074213935969
217,1,5,0.01,relu,0.01,6.398837280273438,1.6337622052991214
218,4,4,0.1,leakyrelu,0.0,1.4972952604293823,0.10460914287496167
219,1,1,0.01,elu,0.005,3.0435466289520265,0.07033666625283697
220,4,4,0.1,leakyrelu,1e-05,1.5076120376586915,0.13848288348294915
221,1,5,0.01,elu,0.0,3.924761486053467,1.8122310013066385
222,4,4,0.01,elu,0.01,1.5584710836410522,0.09206117880886593
223,4,4,0.1,leakyrelu,0.0001,1.5869182348251343,0.17975610867544997
224,1,1,0.01,elu,0.01,3.0646630764007567,0.06869690212396001
225,4,4,0.1,leakyrelu,0.001,1.6704571962356567,0.19392453767729884
226,4,5,0.001,elu,0.0,1.2631206035614013,0.11535503884628615
227,4,1,0.001,elu,0.005,1.5090791940689088,0.10497976747157038
228,4,4,0.01,leakyrelu,0.0,1.3138115167617799,0.09993145261948153
229,1,5,0.01,elu,1e-05,3.0251064777374266,0.10284788988010607
