,units,layers,learning_rate,activation_function,lambda_reg,reg_type,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
1067,8,3,0.001,leakyrelu,0.001,ridge,1.2037809848785401,0.03378156665076226,1.2939408779144288,0.07201585675557921
1068,16,1,0.0001,relu,0.0,ridge,1.2021760940551758,0.07297810772666746,1.2942289352416991,0.10182097645202463
1069,8,1,0.001,elu,0.0001,ridge,1.2202702522277833,0.03956876228408042,1.2876488447189331,0.09725071931318299
1070,8,2,0.0001,leakyrelu,0.001,ridge,1.2789674043655395,0.028730564463828986,1.3572229146957397,0.11221337416253396
1071,16,2,0.1,elu,0.1,lasso,3.9951191902160645,0.32449200220610164,4.009230375289917,0.3503445247358487
1072,16,2,0.01,elu,0.1,ridge,2.7584867000579836,0.012475845917770814,2.763433885574341,0.10847561190798594
1073,8,2,0.01,relu,0.0001,lasso,1.1776206493377686,0.06680401910937557,1.275075578689575,0.04191308431015773
1074,16,2,0.1,elu,0.1,ridge,2.9556674480438234,0.0594358387003811,2.9895225524902345,0.10979434259709532
1075,16,1,0.0001,elu,0.001,ridge,1.2836704015731812,0.057180997832912306,1.3517102956771851,0.059851808131237826
1076,8,5,0.001,leakyrelu,0.01,lasso,1.5917793035507202,0.06259662137756734,1.6463462352752685,0.06233879788635795
1077,2,3,0.001,elu,0.0001,ridge,1.7324387311935425,0.6037275820253851,1.7848042249679565,0.6354893560363319
1078,16,2,0.1,leakyrelu,0.0,lasso,1.4134711980819703,0.031844284328895835,1.4792040586471558,0.08180404449750157
1079,8,4,0.0001,relu,0.0001,lasso,1.2034993648529053,0.05263159866727515,1.3028947830200195,0.10428291071010759
1080,8,2,0.01,relu,0.0001,ridge,1.1932398080825806,0.030340186588710048,1.3151512145996094,0.09896661705647863
1081,2,3,0.0001,relu,1e-05,lasso,4.496968555450439,3.0328302003576804,4.516172003746033,3.065346678542069
1082,16,2,0.001,relu,0.001,ridge,1.1008754968643188,0.04171436139908532,1.254383134841919,0.02778249597713247
1083,16,2,0.001,leakyrelu,0.0001,ridge,1.1105493783950806,0.045328302486377876,1.2329166889190675,0.07278957916063822
1084,16,2,0.01,leakyrelu,0.0,lasso,1.0880055189132691,0.04683313650051714,1.2347944498062133,0.07631469816045651
1085,16,2,0.1,leakyrelu,0.0,ridge,1.415354609489441,0.06496384224250239,1.4215808868408204,0.1440988874239821
1086,2,5,0.001,elu,0.1,ridge,4.564844751358033,1.3161750581589988,4.605475568771363,1.3673284520195776
1087,8,2,0.01,relu,0.001,lasso,1.2516350507736207,0.054542102885472794,1.3463215589523316,0.07079761347838065
1088,2,4,0.0001,leakyrelu,0.001,lasso,1.8873985528945922,0.5222493847013774,1.892127561569214,0.5261021780436913
1089,16,1,0.001,elu,0.0001,lasso,1.1502775192260741,0.026994394711127297,1.230068325996399,0.06350344716545644
1090,2,1,0.001,leakyrelu,0.1,ridge,4.025791645050049,0.8852793009936468,4.050300121307373,0.9710011824769659
1091,16,2,0.1,leakyrelu,1e-05,lasso,1.4793125867843628,0.075525224990863,1.470531415939331,0.1274260891948278
1092,2,2,0.001,leakyrelu,1e-05,lasso,1.6809216260910034,0.11224653844027427,1.7134065866470336,0.13149272226937062
1093,16,2,0.01,leakyrelu,0.0,ridge,1.122268795967102,0.028150130006776547,1.257781434059143,0.051756798444114696
1094,8,5,0.0001,leakyrelu,0.001,ridge,1.2389620780944823,0.029785461576758546,1.318462085723877,0.09426339122700604
1095,16,2,0.1,leakyrelu,1e-05,ridge,1.4276007890701294,0.06306788908415711,1.398306179046631,0.06708851899000288
1096,8,4,0.0001,elu,0.0,lasso,1.1553275108337402,0.04184388811004979,1.2240450382232666,0.06257678897688887
1097,8,2,0.01,relu,0.001,ridge,1.217275071144104,0.023502224728971267,1.309513020515442,0.0738169393702343
1098,16,3,0.0001,relu,0.0,lasso,1.1074499368667603,0.050496228923908766,1.2497890710830688,0.057297425073901245
1099,2,1,0.01,relu,0.0,lasso,1.9206693172454834,0.542734581525286,1.955853486061096,0.6351028439315322
1100,8,4,0.001,elu,0.01,lasso,1.5570609092712402,0.040291670050512096,1.6153756856918335,0.07908096777451351
1101,2,1,0.0001,leakyrelu,0.001,lasso,1.8376777172088623,0.08693150482017836,1.8690053462982177,0.1255538437990775
1102,16,2,0.1,leakyrelu,0.0001,lasso,1.42183575630188,0.032144456072362465,1.508625340461731,0.150904988417485
1103,16,2,0.01,leakyrelu,1e-05,lasso,1.1317609786987304,0.06497170863041651,1.249440312385559,0.04616810650861684
1104,2,5,0.0001,relu,1e-05,lasso,6.924018859863281,2.006494090111915,7.020807552337646,2.054288813901628
1105,16,2,0.1,leakyrelu,0.0001,ridge,1.4335388898849488,0.046008561927658335,1.510826539993286,0.17951721517304747
1106,2,1,0.01,relu,0.0,ridge,1.6730446338653564,0.09937016482291233,1.7044477939605713,0.1485062329059019
1107,8,1,0.001,elu,0.001,lasso,1.2762793064117433,0.05795896199480225,1.3638132572174073,0.07185557469632836
1108,8,2,0.01,relu,0.01,lasso,1.5320305347442627,0.05104963479500583,1.5933921575546264,0.06621045698581667
1109,8,5,0.001,leakyrelu,0.01,ridge,1.425654697418213,0.00977873421598828,1.4983691453933716,0.0822306985942063
1110,16,2,0.1,leakyrelu,0.001,lasso,1.499577808380127,0.05991506594794561,1.6425058126449585,0.16277607714666106
1111,2,4,0.001,leakyrelu,0.01,ridge,2.2454144239425657,0.6431394841663838,2.2900670766830444,0.6450642363381709
1112,16,2,0.01,leakyrelu,1e-05,ridge,1.1528370141983033,0.07614225687362347,1.297152853012085,0.16802945207713582
1113,2,3,0.001,elu,0.001,lasso,2.1061845779418946,0.6382220366108243,2.1124492645263673,0.6267871691085732
1114,16,2,0.001,leakyrelu,0.001,lasso,1.2241619110107422,0.03517455177826905,1.3518945217132567,0.09504976052259037
1115,2,1,0.01,relu,1e-05,lasso,1.6704261302947998,0.11037364287498505,1.7040770769119262,0.12598717948592442
