,units,layers,learning_rate,activation_function,lambda_reg,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
2314,128,1,0.0001,relu,0.01,1.4814064979553223,0.01699940759418914,1.547008752822876,0.09392725529411067
2315,64,5,0.0001,relu,0.1,3.15637845993042,0.02045984188773774,3.20170578956604,0.10050812540565794
2316,64,1,0.0001,relu,0.01,1.4902209520339966,0.026377728186113846,1.5541300058364869,0.08240790766248317
2317,16,1,0.0001,elu,0.5,5.550148773193359,0.03060778399742501,5.566417503356933,0.12651101019688696
2318,32,1,0.0001,leakyrelu,0.0001,1.1642816305160522,0.024344776402153476,1.2548922300338745,0.10920018190941189
2319,128,3,0.0001,elu,0.01,1.498534345626831,0.03392596578834053,1.5573675394058228,0.0743903309332343
2320,2,5,0.0001,leakyrelu,0.0001,1.8580547332763673,0.569999514721238,1.9063228607177733,0.5593059398235734
2321,128,3,0.0001,leakyrelu,0.5,6.4117378234863285,0.04176388880487541,6.417218017578125,0.13783737435167248
2322,4,5,0.0001,leakyrelu,0.0001,1.2988000154495238,0.04713264319395699,1.3326939582824706,0.11527407183057799
2323,128,2,0.0001,leakyrelu,0.1,2.781368780136108,0.01437048749656522,2.801908349990845,0.1104193722816962
2324,2,2,0.0001,elu,0.0,1.929384422302246,0.46409065075651873,1.9825803279876708,0.4963869309465322
2325,4,1,0.0001,elu,0.5,5.536221599578857,0.028099306634952116,5.55186882019043,0.11235211214063691
2326,4,2,0.0001,elu,0.001,1.3344969272613525,0.04223593526207923,1.3796447038650512,0.08871360102734327
2327,128,4,0.0001,relu,0.1,2.9832083702087404,0.02571372890818329,3.0184951305389403,0.10203443362117372
2328,32,2,0.0001,leakyrelu,0.0,1.1438580989837646,0.03937171269406444,1.2444832086563111,0.07498735340730442
2329,64,2,0.0001,leakyrelu,0.5,5.962710571289063,0.043147478877563844,5.966847610473633,0.12525985358865183
2330,128,1,0.0001,elu,0.5,5.580082702636719,0.02762333902416272,5.595336627960205,0.14188379641006918
2331,32,1,0.0001,elu,0.0,1.1754873991012573,0.052669987518734,1.2609360218048096,0.07570446132764153
